MDID,SEDOL,ISIN,SecurityCode,CUSIP,Ticker,AssetType,AssetSubType,ShareClass,SecurityName,Price,AssetCurrency,CountryOfIssue,CountryOfIncorporation,HomeMemeberState,HomeMemeberStateDR,HomeMemeberStateSSR,MarketsListedIn,StockExchange,IndustryGroupId,TotalSharesOutstanding,TotalSharesIssued,TotalSharesTreasury,TotalVotingSharesIssued,TotalVotingSharesOutstanding,TotalVotingRightsIssued,TotalVotingRightsOutstanding,TotalDilutedShares,ClassSharesOutstanding,ClassSharesIssued,ClassSharesTreasury,ClassVotingSharesIssued,ClassVotingSharesOutstanding,ClassVotingRightsIssued,ClassVotingRightsOutstanding,VotesPerShare,ClassDebtOutstanding,TotalDebtOutstanding,TotalIssuedNominalCapital,RegisteredShareCapital,13FFlag,ShortSellFlag,TakeoverFlag,CallOrPut,ConvertibleFlag,ConversionRatioBond,ConversionRatioRights,ConversionRatioPreferredEquity,ConversionRatioWarrants,ContractSize,Delta,AssetRatioAgainst,AssetRatioFor,UnderlyingMDID,UnderlyingExchangeCode,UnderlyingISIN,UnderlyingSEDOL,IsCashSettled,MaturityDate,OptionNextExerciseDate,ExerciseStyle,ExpirationDate,Notional,ParValue,DurationAdjustment,InControlOfConversion,IsCoveredConvertible,IsCoveredWarrant,IsETF,IsGovernmentBacked,IsREIT,IsWhenIssued,IsConvertiblePreferred,LotSize,HasAlternateUSSection12Registration,IssuerID,IssuerName,RegistrationType,RegistrationNo,AddressLine1,AddressLine2,AddressLine3,Telephone,Fax,ContactName,Designation,ContactEmail,ContactNo,ContactFaxNo,TypeOfIssuer,StrikePrice,FIGINumber
AU000000BHP4 AU,,AU000000BHP4,,,BHP,Common Stock,ODSH,,BHP Group Ltd,,AUD,AU,AU,,,,,ASX,0,5073901000,5075161000,1260000,5075161000,5073901000,5073901188,5073901188,5077000000,5073901000,4934659000,1260000,5075161000,5073901000,5075161000,5073901000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100232,BHP Group Ltd,,,,,,,,,,,,,,,
AU000000BSL0 AU,,AU000000BSL0,,,BSL,Common Stock,ODSH,,BlueScope Steel Ltd,,AUD,AU,AU,,,,,ASX,0,438609900,439599900,990000,439599900,438609900,438609849,438609849,450941000,438610000,437372200,990000,439600000,438610000,439600000,438610000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7738397,BlueScope Steel Ltd,,,,,,,,,,,,,,,
AU000000DEG6 AU,,AU000000DEG6,,,DEG,Common Stock,ODSH,,De Grey Mining Ltd,,AUD,AU,AU,,,,,ASX,0,2396758000,2396758000,0,2396758000,2396758000,2396757505,2396757505,1843383000,2396758000,1601330000,0,2396758000,2396758000,2396758000,2396758000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7010071,De Grey Mining Ltd,,,,,,,,,,,,,,,
AU000000EVN4 AU,,AU000000EVN4,,,EVN,Common Stock,ODSH,,Evolution Mining Ltd,,AUD,AU,AU,,,,,ASX,0,1989336000,1989336000,0,1989336000,1989336000,1989336343,1989336343,1924066000,1989336000,1866040000,0,1989336000,1989336000,1989336000,1989336000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7774345,Evolution Mining Ltd,,,,,,,,,,,,,,,
AU000000FMG4 AU,,AU000000FMG4,,,FMG,Common Stock,ODSH,,Fortescue Ltd,,AUD,AU,AU,,,,,ASX,0,3078965000,3081965000,3000000,3081965000,3078965000,3078964918,3078964918,3081157000,3078965000,1584519000,3000000,3081965000,3078965000,3081965000,3078965000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153693,Fortescue Ltd,,,,,,,,,,,,,,,
AU000000IGO4 AU,,AU000000IGO4,,,IGO,Common Stock,ODSH,,IGO Ltd,,AUD,AU,AU,,,,,ASX,0,757267800,757267800,0,757267800,757267800,757267813,757267813,759747000,757268000,752372700,0,757268000,757268000,757268000,757268000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7593731,IGO Ltd,,,,,,,,,,,,,,,
AU000000JBH7 AU,,AU000000JBH7,,,JBH,Common Stock,ODSH,,JB Hi-Fi Ltd,,AUD,AU,AU,,,,,ASX,0,109334000,109334000,0,109334000,109334000,109333981,109333981,109800000,109334000,108711700,0,109334000,109334000,109334000,109334000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7246335,JB Hi-Fi Ltd,,,,,,,,,,,,,,,
AU000000MIN4 AU,,AU000000MIN4,,,MIN,Common Stock,ODSH,,Mineral Resources Ltd,,AUD,AU,AU,,,,,ASX,0,196518600,198028600,1510000,198028599,196518600,196518604,196518604,197534000,196519000,171275900,1510000,198029000,196519000,198029000,196519000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10874328,Mineral Resources Ltd,,,,,,,,,,,,,,,
AU000000NHC7 AU,,AU000000NHC7,,,NHC,Common Stock,ODSH,,New Hope Corp Ltd,,AUD,AU,AU,,,,,ASX,0,845335400,845335400,0,845335400,845335400,845335464,845335464,850987000,845336000,481436600,0,845336000,845336000,845336000,845336000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8236466,New Hope Corp Ltd,,,,,,,,,,,,,,,
AU000000NST8 AU,,AU000000NST8,,,NST,Common Stock,ODSH,,Northern Star Resources Ltd,,AUD,AU,AU,,,,,ASX,0,1149685000,1149685000,0,1149685000,1149685000,1149684861,1149684861,1159223000,1149685000,1147955000,0,1149685000,1149685000,1149685000,1149685000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8432931,Northern Star Resources Ltd,,,,,,,,,,,,,,,
